time,IOT_Sensor_Reading,Error_Present,Sensor_2,Sensor_Value
03-09-2017 01:00,-0.190455039,-0.707971936,0.393827385,-0.792653534
03-09-2017 02:00,-0.054755824,-0.707971936,0.393827385,-0.534769679
03-09-2017 03:00,-0.12220865,-0.707971936,0.393827385,-0.390897633
03-09-2017 04:00,0.093640394,-0.707971936,0.393827385,0.119440944
03-09-2017 05:00,0.14601553,-0.707971936,0.393827385,0.062435039
03-09-2017 06:00,0.174583786,-0.707971936,0.393827385,0.363751964
03-09-2017 07:00,0.092846832,-0.707971936,0.393827385,0.108582676
03-09-2017 08:00,0.171409535,-0.707971936,0.393827385,0.095009841
03-09-2017 09:00,0.262669241,-0.707971936,0.393827385,0.206307084
03-09-2017 10:00,0.056342949,-0.707971936,0.393827385,0.092295275
03-09-2017 11:00,-0.065072138,-0.707971936,0.393827385,0.214450785
03-09-2017 12:00,0.014284128,-0.707971936,0.393827385,-0.301316926
03-09-2017 13:00,0.084117642,-0.707971936,0.393827385,-0.347464563
03-09-2017 14:00,-0.16982241,-0.707971936,0.393827385,-0.526625978
03-09-2017 15:00,-0.013490565,-0.707971936,0.393827385,-0.143872046
03-09-2017 16:00,0.178551599,-0.707971936,0.393827385,0.067864172
03-09-2017 17:00,0.372180889,-0.707971936,0.393827385,0.442474404
03-09-2017 18:00,0.498357352,-0.707971936,0.393827385,0.711216527
03-09-2017 19:00,0.476137598,-0.707971936,0.393827385,0.711216527
03-09-2017 20:00,0.526132045,-0.707971936,0.393827385,0.703072827
03-09-2017 21:00,0.601520498,-0.707971936,0.393827385,0.705787393
03-09-2017 22:00,0.489628163,-0.707971936,0.393827385,0.632494087
03-09-2017 23:00,0.457092094,-0.707971936,0.393827385,0.762793298
04-09-2017 00:00,0.19362929,1.911524226,-1.444033746,0.830657471
04-09-2017 01:00,-0.054755824,1.911524226,-1.444033746,0.238881887
04-09-2017 02:00,-0.069833514,1.911524226,-1.444033746,-0.032574803
04-09-2017 03:00,-0.078562704,1.911524226,-1.444033746,-0.051576771
04-09-2017 04:00,-0.261875679,1.911524226,-1.444033746,-0.138442912
04-09-2017 05:00,-0.344406196,1.911524226,-1.444033746,-0.084151574
04-09-2017 06:00,-0.438840152,1.911524226,-1.444033746,-0.097724408
04-09-2017 07:00,-0.479311848,1.911524226,-1.444033746,-0.086866141
04-09-2017 08:00,-0.651514946,1.911524226,-1.444033746,-0.46419094
04-09-2017 09:00,-0.779278535,1.911524226,-1.444033746,-0.575488182
04-09-2017 10:00,-0.740393964,1.911524226,-1.444033746,-0.293173225
04-09-2017 11:00,-0.845937798,1.911524226,-1.444033746,-0.651496055
04-09-2017 12:00,-1.428412793,1.911524226,-1.444033746,-0.529340545
04-09-2017 13:00,-1.043534901,1.911524226,-1.444033746,-0.401755901
04-09-2017 14:00,-0.782452785,1.911524226,-1.444033746,-0.27145669
04-09-2017 15:00,-0.880854556,1.911524226,-1.444033746,-0.363751964
04-09-2017 16:00,-1.154633674,1.911524226,-1.444033746,-0.673212591
04-09-2017 17:00,-1.273668074,1.911524226,-1.444033746,-0.694929126
04-09-2017 18:00,-0.807846791,1.911524226,-1.444033746,-0.675927158
04-09-2017 19:00,-0.507880104,1.911524226,-1.444033746,-0.906665344
04-09-2017 20:00,-0.653895634,1.911524226,-1.444033746,-0.722074795
04-09-2017 21:00,-0.640405069,1.911524226,-1.444033746,-0.331177162
04-09-2017 22:00,-0.941958881,1.911524226,-1.444033746,-0.312175193
04-09-2017 23:00,-1.257003258,1.911524226,-1.444033746,-0.616206686
05-09-2017 00:00,-1.398257412,-0.424783161,2.034774824,-0.730218495
05-09-2017 01:00,-1.560937758,-0.424783161,2.034774824,-1.053251956
05-09-2017 02:00,-1.408573726,-0.424783161,2.034774824,-1.053251956
05-09-2017 03:00,-1.603790141,-0.424783161,2.034774824,-1.28670471
